smiles,additional comment,IsPolymerized,delta_FE(H2),delta_FE(CO),delta_FE(HCOOH),delta_FE(CH4),delta_FE(CH3OH),delta_FE(C1),delta_FE(C2H4),delta_FE(C2H6),delta_FE(C2H5OH),delta_FE(Acetaldehyde),delta_FE(CH3CO2H),delta_FE(C3H6),delta_FE(C3H7OH),delta_FE(AllylOH),delta_FE(C2+),typical voltage (V vs RHE),typical current density(mA/cm2),delta_current density ratio,Is Voltage reliable,Is current density reliable,typical pH,typicalelectrolyte,Setcurrent_density,cell type,ref,additional comments
COC(=O)c1ccc(nc1)C(O)=O,,No,-17.8,-3.8,NaN,0,NaN,-3.8,-0.5,0,NaN,0,NaN,0,0,NaN,-0.5,-1,6.59,3.41,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
CC(N)CO,,No,-13.4,-6.6,NaN,0,NaN,-6.6,5.9,0,NaN,0,NaN,0,0,NaN,5.9,-1,6.32,3.14,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
O[C@@H]([C@H](O)C(O)=O)C(O)=O,,No,-17.9,-4.9,NaN,0,NaN,-4.9,6.9,0,NaN,0,NaN,0,0,NaN,6.9,-1,5.18,2,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
NCCCC[C@H](N)C(O)=O,,No,-11.8,-7.9,NaN,0,NaN,-7.9,7.9,0,NaN,0,NaN,0,0,NaN,7.9,-1,8.32,5.14,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
N[C@@H](CCCNC(N)=N)C(O)=O,,No,0.7,-3.5,NaN,0,NaN,-3.5,2,0,NaN,0,NaN,0,0,NaN,2,-1,5.35,2.17,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Oc1ccc(O)cc1,,No,-5,-8.4,NaN,0,NaN,-8.4,4.9,0,NaN,0,NaN,0,0,NaN,4.9,-1,7.77,4.59,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Nc1cccnc1C(O)=O,,No,49.4,-14.3,NaN,0,NaN,-14.3,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,9.26,6.08,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
N[C@@H](Cc1ccc(O)cc1)C(O)=O,,No,27.8,-12,NaN,0,NaN,-12,-9.7,0,NaN,0,NaN,0,0,NaN,-9.7,-1,4.73,1.55,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC(=O)c1ccc2ncccc2c1,,No,47.7,-15.6,NaN,0,NaN,-15.6,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,10.1,6.92,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
N[C@@H](Cc1c[nH]cn1)C(O)=O,,No,-14.4,-4.8,NaN,0,NaN,-4.8,8.1,0,NaN,0,NaN,0,0,NaN,8.1,-1,7.27,4.09,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
c1cnc2c(c1)ccc3cccnc23,,No,40,-4.4,NaN,0,NaN,-4.4,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,8.35,5.17,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
COc1ccc(O)c(C)c1C,,No,13.4,-7.8,NaN,0,NaN,-7.8,-6.6,0,NaN,0,NaN,0,0,NaN,-6.6,-1,8.79,5.61,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
CC1=CC(=O)C(=C(C)C1=O)C,,No,5.7,-8.9,NaN,0,NaN,-8.9,-5.2,0,NaN,0,NaN,0,0,NaN,-5.2,-1,8.27,5.09,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC(=O)C1CC(C(C1C(O)=O)C(O)=O)C(O)=O,,No,33.6,-10.9,NaN,0,NaN,-10.9,-10.5,0,NaN,0,NaN,0,0,NaN,-10.5,-1,5.45,2.27,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC#C,,No,-17.7,-6.7,NaN,0,NaN,-6.7,11,0,NaN,0,NaN,0,0,NaN,11,-1,7.96,4.78,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
CCC(O)C#C,,No,-13.4,-4,NaN,0,NaN,-4,-1.1,0,NaN,0,NaN,0,0,NaN,-1.1,-1,4.38,1.2,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Oc1ccc(I)cc1,,No,47.7,-15.2,NaN,0,NaN,-15.2,-11.2,0,NaN,0,NaN,0,0,NaN,-11.2,-1,9,5.82,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
NCC(=O)NCC(O)=O,,No,-15.5,-3.6,NaN,19.1,NaN,15.5,0.8,0,NaN,0,NaN,0,0,NaN,0.8,-1,4.16,0.98,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
C1O[C@@H]1c2ccccc2,,No,50.5,-16.6,NaN,0,NaN,-16.6,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,6.33,3.15,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,,No,-5.5,-16.6,NaN,0,NaN,-16.6,-1.5,0,NaN,0,NaN,0,0,NaN,-1.5,-1,7.77,4.59,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O,,No,-10.5,-16.6,NaN,0,NaN,-16.6,3.8,0,NaN,0,NaN,0,0,NaN,3.8,-1,4.3,1.12,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,,No,-19.5,-7.9,NaN,0,NaN,-7.9,13.1,0,NaN,0,NaN,0,0,NaN,13.1,-1,7.57,4.39,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC[C@@H](O)[C@H](O)[C@@H](O)C=O,,No,-6,-7.5,NaN,0,NaN,-7.5,-0.5,0,NaN,0,NaN,0,0,NaN,-0.5,-1,3.52,0.34,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,,No,-16.3,-6.2,NaN,0,NaN,-6.2,2.7,0,NaN,0,NaN,0,0,NaN,2.7,-1,3.67,0.49,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,,No,3.1,-4.8,NaN,0,NaN,-4.8,-7.5,0,NaN,0,NaN,0,0,NaN,-7.5,-1,3.82,0.64,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
CC(C)(O)C(O)=O,,No,-2,-8.9,NaN,0,NaN,-8.9,-0.5,0,NaN,0,NaN,0,0,NaN,-0.5,-1,4.43,1.25,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC(F)(F)F,,No,-20.1,-6.4,NaN,0,NaN,-6.4,2.7,0,NaN,0,NaN,0,0,NaN,2.7,-1,7.09,3.91,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC(O)CO,,No,-21,-1.6,NaN,0,NaN,-1.6,5.6,0,NaN,0,NaN,0,0,NaN,5.6,-1,5.05,1.87,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCCN(CCO)CCO,,No,-8.9,-9.5,NaN,0,NaN,-9.5,6.6,0,NaN,0,NaN,0,0,NaN,6.6,-1,5.01,1.83,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCCNCCO,,No,-14.6,-8.4,NaN,0,NaN,-8.4,10.7,0,NaN,0,NaN,0,0,NaN,10.7,-1,7.49,4.31,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC1OC(O)C(O)C(O)C1O,,No,-17.9,-5.3,NaN,0,NaN,-5.3,5.9,0,NaN,0,NaN,0,0,NaN,5.9,-1,4.41,1.23,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,,No,-20.8,-2.7,NaN,0,NaN,-2.7,4.2,0,NaN,0,NaN,0,0,NaN,4.2,-1,4.6,1.42,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,,No,-17,-7.6,NaN,0,NaN,-7.6,13.6,0,NaN,0,NaN,0,0,NaN,13.6,-1,5.72,2.54,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC(CO)(CO)NCCCNC(CO)(CO)CO,,No,-15.3,-8.1,NaN,0,NaN,-8.1,15.3,0,NaN,0,NaN,0,0,NaN,15.3,-1,6.05,2.87,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC(CO)(CO)NCC(O)C[S](O)(=O)=O,,No,-18.9,-5.3,NaN,0,NaN,-5.3,6.8,0,NaN,0,NaN,0,0,NaN,6.8,-1,6.04,2.86,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
NCC(O)CO,,No,-19.5,-3.6,NaN,0,NaN,-3.6,7.7,0,NaN,0,NaN,0,0,NaN,7.7,-1,7.58,4.4,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
CC(C)(C)OC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(O)=O,,No,45.5,-14.4,NaN,0,NaN,-14.4,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,9.8,6.62,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
OCC(O)C(O)CO,,No,-5.3,-9.9,NaN,0.5,NaN,-9.4,6.8,0,NaN,0,NaN,0,0,NaN,6.8,-1,9.3,6.12,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
Cc1ccnc(c1)C(O)=O,,No,27.7,-9.2,NaN,0,NaN,-9.2,-7.3,0,NaN,0,NaN,0,0,NaN,-7.3,-1,7.6,4.42,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
O(c1ccccc1)c2ccccn2,,No,54.5,-15.6,NaN,0,NaN,-15.6,-11.5,0,NaN,0,NaN,0,0,NaN,-11.5,-1,5.7,2.52,Yes,Yes,weak base,KHCO3(0.1M),FALSE,H-Cell,"J. Am. Chem. Soc. 2021, 143, 5755−5762",
O=C1C(C(C(C(C1=O)=O)=O)=O)=O.NC1=CC=C2C(N=C3C=C(N)C(N)=CC3=N2)=C1N,COF,No,-15,-5.5,-2,-0.5,0,-8,15,0,3,0,4,0,0,0,22,NaN,500,0,No,Yes,weak base,KHCO3(0.1M),TRUE,MEA,https://www.nature.com/articles/s41560-022-01188-2,
CC1=CC=C(N2C=CC(C3([H])C=CN(C4=CC=C(C)C=C4)C=C3)([H])C=C2)C=C1,,No,-70.8,1.5,4.6,1.8,0,7.9,30.7,0,20.1,0,1.4,0,2.46,0,54.66,NaN,50,0,No,Yes,acid,H3PO4(1.0M)/[K+](0.1M),FALSE,GDE,10.1002/anie.202216102,
